,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight
82,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,DUK,US26441C2044,B7VD3F2,DUK.N,,Duke Energy Corp.,US,USD,NYSE,65102000,,,1,73545,94.94,0.9186533,6982362,6414370,0.63642
83,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,RY,CA7800871021,2754383,RY.TO,,Royal Bank of Canada,CA,CAD,Toronto Stock Exchange,30101010,,,1,70341,134.34,0.6783571,9449610,6410210,0.636
84,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,ETR,US29364G1031,2317087,ETR.N,,Entergy Corp.,US,USD,NYSE,65101015,,,1,67345,102.61,0.9186533,6910270,6348143,0.62985
85,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,NA,CA6330671034,2077303,NA.TO,,National Bank of Canada,CA,CAD,Toronto Stock Exchange,30101010,,,1,83352,111.39,0.6783571,9284579,6298260,0.6249
86,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,GILD,US3755581036,2369174,GILD.OQ,,Gilead Sciences Inc.,US,USD,NASDAQ,20103015,,,1,90256,73.26,0.9186533,6612155,6074278,0.60267
87,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,SO,US8425871071,2829601,SO.N,,Southern Co.,US,USD,NYSE,65101015,,,1,93570,69.42,0.9186533,6495629,5967231,0.59205
88,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,FITB,US3167731005,2336747,FITB.OQ,,Fifth Third Bancorp,US,USD,NASDAQ,30101010,,,1,174404,35.77,0.9186533,6238431,5730955,0.56861
89,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,P,US20825C1045,2685717,COP.N,,ConocoPhillips,US,USD,NYSE,60101010,,,1,51272,120.26,0.9186533,6165971,5664389,0.56201
90,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,HWP,US40434L1052,BYX4D52,HPQ.N,,HP Inc.,US,USD,NYSE,10102030,,,1,198167,29.94,0.9186533,5933120,5450480,0.54078
91,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,ED,US2091151041,2216850,ED.N,,Consolidated Edison Inc.,US,USD,NYSE,65101015,,,1,65874,88.99,0.9186533,5862127,5385263,0.53431
92,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,FNTG,US31620R3030,BNBRDD4,FNF.N,,FNF Group,US,USD,NYSE,30302025,,,1,114868,48.92,0.9186533,5619343,5162228,0.51218
93,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,SRE,US8168511090,2138158,SRE.N,,Sempra,US,USD,NYSE,65102000,,,1,77435,70.6,0.9186533,5466911,5022196,0.49829
94,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,IBM,US4592001014,2005973,IBM.N,,International Business Machine,US,USD,NYSE,10101010,,,1,28416,191.69,0.9186533,5447063,5003962,0.49648
95,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,RCI.B,CA7751092007,2169051,RCIb.TO,,Rogers Communications Inc. Cl,CA,CAD,Toronto Stock Exchange,15102015,,,1,125209,57.15,0.6783571,7155694,4854116,0.48161
96,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,PFG,US74251V1026,2803014,PFG.OQ,,Principal Financial Group Inc.,US,USD,NASDAQ,30301010,,,1,63779,82.25,0.9186533,5245823,4819092,0.47814
97,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,COG,US1270971039,2162340,CTRA.N,,COTERRA ENERGY,US,USD,NYSE,60101010,,,1,193843,26.55,0.9186533,5146532,4727878,0.46909
98,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,AMGN,US0311621009,2023607,AMGN.OQ,,Amgen Inc.,US,USD,NASDAQ,20103015,,,1,18746,270.9,0.9186533,5078291,4665189,0.46287
99,3/18/2024,SDGP,STXG18SD100 EUR P,Price,EUR,2783.65,100,1007888091,362074,US205T,US7185461040,B78C4Y8,PSX.N,,PHILLIPS 66,US,USD,NYSE,60101020,,,1,30740,156.76,0.9186533,4818802,4426809,0.43922
