Date;Next_Trading_Day;Index_Symbol;Internal_Key;ISIN;Company_Name;RIC_Code;BBG_Code;SEDOL;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Shares;Free_Float;Close_Local;Close_EUR;Close_USD;Close_GBP;Close_JPY;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Event_next_trading_day;New_Internal_Key;New_ISIN;New_Company_Name;New_RIC_Code;New_BBG_Code;New_SEDOL;New_Country;New_Currency;New_Exchange;New_Industry;New_Supersector;New_Sector;New_Subsector;New_Shares;New_Free_Float;Close_adjusted_local;Close_adjusted_EUR;Close_adjusted_USD;Close_adjusted_GBP;Close_adjusted_JPY;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;Reserved;
2024-03-25;2024-03-26;SDGP;668196;AU000000NHC7;NEW HOPE CORP.;NHC.AX;NHC AU Equity;6681960;AU;AUD;Australian Securities Exchange;60;6010;601010;60101040;;;4.45;2.6843619;2.9091772;2.3007666;440.5221757;;;;;;;;;;;0;668196;AU000000NHC7;NEW HOPE CORP.;NHC.AX;NHC AU Equity;6681960;AU;AUD;Australian Securities Exchange;60;6010;601010;60101040;;;4.45;2.6843619;2.9091772;2.3007666;440.5221757;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;SO;US8425871071;Southern Co.;SO.N;SO UN Equity;2829601;US;USD;NYSE;65;6510;651010;65101015;;;69.76;64.3690937;69.7600053;55.1707502;10563.4092045;;;;;;;;;;;0;SO;US8425871071;Southern Co.;SO.N;SO UN Equity;2829601;US;USD;NYSE;65;6510;651010;65101015;;;69.76;64.3690937;69.7600053;55.1707502;10563.4092045;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;BBY;US0865161014;Best Buy Co. Inc.;BBY.N;BBY UN Equity;2094670;US;USD;NYSE;40;4040;404010;40401030;;;80.72;74.4821279;80.7200061;63.8386318;12223.027391;;;;;;;;;;;0;BBY;US0865161014;Best Buy Co. Inc.;BBY.N;BBY UN Equity;2094670;US;USD;NYSE;40;4040;404010;40401030;;;80.72;74.4821279;80.7200061;63.8386318;12223.027391;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;506506;SE0005190238;TELE2 B;TEL2b.ST;TEL2B SS Equity;B97C733;SE;SEK;NASDAQ  Stockholm AB;15;1510;151020;15102015;;;87.52;7.6410036;8.2809377;6.5491042;1253.9410316;;;;;;;;;;;0;506506;SE0005190238;TELE2 B;TEL2b.ST;TEL2B SS Equity;B97C733;SE;SEK;NASDAQ  Stockholm AB;15;1510;151020;15102015;;;87.52;7.6410036;8.2809377;6.5491042;1253.9410316;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;STB;US9029733048;U.S. Bancorp;USB.N;USB UN Equity;2736035;US;USD;NYSE;30;3010;301010;30101010;;;43.55;40.1845475;43.5500034;34.4421757;6594.5595089;;;;;;;;;;;0;STB;US9029733048;U.S. Bancorp;USB.N;USB UN Equity;2736035;US;USD;NYSE;30;3010;301010;30101010;;;43.55;40.1845475;43.5500034;34.4421757;6594.5595089;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;576162;DE000KSAG888;K + S;SDFGn.DE;SDF GY Equity;B54C017;DE;EUR;Deutsche Boerse;55;5520;552010;55201015;;;14;14;15.1725;11.9994;2297.4959;;;;;;;;;;;0;576162;DE000KSAG888;K + S;SDFGn.DE;SDF GY Equity;B54C017;DE;EUR;Deutsche Boerse;55;5520;552010;55201015;;;14;14;15.1725;11.9994;2297.4959;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;IT602J;IT0003796171;POSTE ITALIANE;PST.MI;PST IM Equity;BYYN701;IT;EUR;EURONEXT Milan;30;3030;303010;30301010;;;11.455;11.455;12.4143563;9.8180805;1879.8439668;;;;;;;;;;;0;IT602J;IT0003796171;POSTE ITALIANE;PST.MI;PST IM Equity;BYYN701;IT;EUR;EURONEXT Milan;30;3030;303010;30301010;;;11.455;11.455;12.4143563;9.8180805;1879.8439668;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;PFG;US74251V1026;Principal Financial Group Inc.;PFG.OQ;PFG UQ Equity;2803014;US;USD;NASDAQ;30;3030;303010;30301010;;;84.48;77.951563;84.4800064;66.8122846;12792.3854565;;;;;;;;;;;0;PFG;US74251V1026;Principal Financial Group Inc.;PFG.OQ;PFG UQ Equity;2803014;US;USD;NASDAQ;30;3030;303010;30301010;;;84.48;77.951563;84.4800064;66.8122846;12792.3854565;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;617350;AU000000HVN7;Harvey Norman Holdings Ltd.;HVN.AX;HVN AU Equity;6173508;AU;AUD;Australian Securities Exchange;40;4040;404010;40401010;;;4.96;2.9920079;3.2425886;2.56445;491.0089916;;;;;;;;;;;0;617350;AU000000HVN7;Harvey Norman Holdings Ltd.;HVN.AX;HVN AU Equity;6173508;AU;AUD;Australian Securities Exchange;40;4040;404010;40401010;;;4.96;2.9920079;3.2425886;2.56445;491.0089916;;;;;;;;;;;
2024-03-25;2024-03-26;SDGP;NL602G;NL0011540547;ABN AMRO BANK;ABNd.AS1;ABN NA Equity;BYQP136;NL;EUR;EURONEXT Amsterdam;30;3010;301010;30101010;;;15.22;15.22;16.494675;13.045062;2497.706257;;;;;;;;;;;0;NL602G;NL0011540547;ABN AMRO BANK;ABNd.AS1;ABN NA Equity;BYQP136;NL;EUR;EURONEXT Amsterdam;30;3010;301010;30101010;;;15.22;15.22;16.494675;13.045062;2497.706257;;;;;;;;;;;
