,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight
41,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,401632,DE0008404005,5231485,ALVG.DE,,ALLIANZ,DE,EUR,XETRA (DE),8532,,,1.0,61209,160.1,1.0,9799561,9799561.0,0.97725
42,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,B0PB4M,HK0823032773,B0PB4M7,0823.HK,,Link Real Estate Investment Tr,HK,HKD,Hong Kong Stock Exchange,8672,,,1.0,1722113,47.3,0.118008,81455945,9612453.0,0.95859
43,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,591264,CH0018294154,B012877,PSPN.S,,PSP SWISS PROPERTY,CH,CHF,SIX Swiss Exchange,8633,,,1.0,107939,94.05,0.9464769,10151663,9608314.0,0.95817
44,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,643532,HK0006000050,6435327,0006.HK,,POWER ASSETS HOLDINGS LTD,HK,HKD,Hong Kong Stock Exchange,7535,,,1.0,1049353,75.75,0.118008,79488490,9380278.0,0.93543
45,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,634295,NZFBUE0001S0,6341606,FBU.NZ,,Fletcher Building Ltd.,NZ,NZD,NZX,2353,,,1.0,1516557,8.85,0.6975691,13421529,9362444.0,0.93365
46,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,RCI.B,CA7751092007,2169051,RCIb.TO,,Rogers Communications Inc. Cl,CA,CAD,Toronto Stock Exchange,6575,,,1.0,287524,44.01,0.7312081,12653931,9252657.0,0.92271
47,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,B00D9P,BE0003810273,B00D9P6,BCOM.BR,,BELGACOM,BE,EUR,EURONEXT (BE),6535,,,1.0,290204,31.725,1.0,9206722,9206722.0,0.91813
48,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,217052,CA1360691010,2170525,CM.TO,,Canadian Imperial Bank of Comm,CA,CAD,Toronto Stock Exchange,8355,,,1.0,134589,93.05,0.7312081,12523506,9157289.0,0.9132
49,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,686774,HK0019000162,6867748,0019.HK,,Swire Pacific Ltd. A,HK,HKD,Hong Kong Stock Exchange,2727,,,1.0,764459,100.8,0.118008,77057467,9093398.0,0.90682
50,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,B15F66,TH0902010014,B15F664,TBEV.SI,,Thai Beverage PCL,SG,SGD,Singapore Exchange,3533,,,1.0,18047704,0.75,0.6694562,13535778,9061611.0,0.90365
51,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,481334,SE0000148884,4813345,SEBa.ST,,SKANDINAVISKA ENSKILDA BK A,SE,SEK,OMX (SE),8355,,,1.0,760232,110.2,0.1076519,83777566,9018814.0,0.89939
52,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,461075,DE0008430026,5294121,MUVGn.DE,,MUENCHENER RUECK,DE,EUR,XETRA (DE),8538,,,1.0,44512,200.85,1.0,8940235,8940235.0,0.89155
53,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,PPL,US69351T1060,2680905,PPL.N,,PPL Corp.,US,USD,New York Stock Exchange,7535,,,1.0,285458,34.16,0.9152062,9751245,8924400.0,0.88997
54,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,SO,US8425871071,2829601,SO.N,,Southern Co.,US,USD,New York Stock Exchange,7535,,,1.0,215057,45.17,0.9152062,9714125,8890427.0,0.88658
55,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,656835,BMG668971101,6568353,0659.HK,,NWS HOLDINGS,HK,HKD,Hong Kong Stock Exchange,2357,,,1.0,5960472,12.6,0.118008,75101947,8862631.0,0.88381
56,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,P,US20825C1045,2685717,COP.N,,ConocoPhillips,US,USD,New York Stock Exchange,0537,,,1.0,152149,63.23,0.9152062,9620381,8804633.0,0.87803
57,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,479736,FR0010411983,B1LB9P6,SCOR.PA,,SCOR,FR,EUR,EURONEXT (FR),8538,,,1.0,283493,31.02,1.0,8793953,8793953.0,0.87696
58,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,NA,CA6330671034,2077303,NA.TO,,National Bank of Canada,CA,CAD,Toronto Stock Exchange,8355,,,1.0,254275,47.28,0.7312081,12022122,8790673.0,0.87664
59,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,654362,AU000000SYD9,B70DWB2,SYD.AX,,SYDNEY AIRPORT,AU,AUD,ASX,2777,,,1.0,2329275,5.25,0.7181588,12228694,8782144.0,0.87579
60,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,636586,AU000000GPT8,6365866,GPT.AX,,GPT Group,AU,AUD,ASX,8672,,,1.0,2597498,4.68,0.7181588,12156291,8730147.0,0.8706
61,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,BEL,US92343V1044,2090571,VZ.N,,Verizon Communications Inc.,US,USD,New York Stock Exchange,6535,,,1.0,190307,49.64,0.9152062,9446839,8645806.0,0.86219
62,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,BMO,CA0636711016,2076009,BMO.TO,,Bank of Montreal,CA,CAD,Toronto Stock Exchange,8355,,,1.0,152765,76.41,0.7312081,11672774,8535227.0,0.85116
63,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,691678,SG1M31001969,6916781,UOBH.SI,,United Overseas Bank Ltd.,SG,SGD,Singapore Exchange,8355,,,1.0,552781,23.0,0.6694562,12713963,8511441.0,0.84879
64,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,HP,US4234521015,2420101,HP.N,,Helmerich & Payne Inc.,US,USD,New York Stock Exchange,0573,,,1.0,135109,68.51,0.9152062,9256318,8471439.0,0.8448
65,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,626551,SG1L01001701,6175203,DBSM.SI,,DBS Group Holdings Ltd.,SG,SGD,Singapore Exchange,8355,,,1.0,623678,20.21,0.6694562,12604532,8438182.0,0.84148
66,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,SCL.B,CA82028K2002,2801836,SJRb.TO,,Shaw Communications Inc. Cl B,CA,CAD,Toronto Stock Exchange,5553,,,1.0,401414,28.44,0.7312081,11416214,8347628.0,0.83245
67,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,ETR,US29364G1031,2317087,ETR.N,,Entergy Corp.,US,USD,New York Stock Exchange,7535,,,1.0,114148,78.49,0.9152062,8959477,8199768.0,0.81771
68,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,T.PWF,CA73927C1005,2697864,PWF.TO,,Power Financial Corp.,CA,CAD,Toronto Stock Exchange,8575,,,1.0,288853,38.64,0.7312081,11161280,8161218.0,0.81386
69,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,FE,US3379321074,2100920,FE.N,,FirstEnergy Corp.,US,USD,New York Stock Exchange,7535,,,1.0,244183,36.38,0.9152062,8883378,8130122.0,0.81076
70,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,TRP,CA89353D1078,2665184,TRP.TO,,TransCanada Corp.,CA,CAD,Toronto Stock Exchange,0577,,,1.0,200914,55.33,0.7312081,11116572,8128527.0,0.8106
71,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,238495,CA39138C1068,2384951,GWO.TO,,Great-West Lifeco Inc.,CA,CAD,Toronto Stock Exchange,8575,,,1.0,293669,37.04,0.7312081,10877500,7953716.0,0.79317
72,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,CHV,US1667641005,2838555,CVX.N,,Chevron Corp.,US,USD,New York Stock Exchange,0537,,,1.0,81665,105.92,0.9152062,8649957,7916494.0,0.78946
73,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,DUK,US26441C2044,B7VD3F2,DUK.N,,Duke Energy Corp.,US,USD,New York Stock Exchange,7575,,,1.0,112112,76.8,0.9152062,8610202,7880110.0,0.78583
74,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,ED,US2091151041,2216850,ED.N,,Consolidated Edison Inc.,US,USD,New York Stock Exchange,7535,,,1.0,139809,61.53,0.9152062,8602448,7873014.0,0.78512
75,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,SCG,US80589M1027,2545844,SCG.N,,Scana Corp.,US,USD,New York Stock Exchange,7575,,,1.0,149608,55.96,0.9152062,8372064,7662165.0,0.7641
76,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,553397,CH0008742519,5533976,SCMN.VX,,SWISSCOM,CH,CHF,,6535,,,1.0,14104,573.5,0.9464769,8088644,7655715.0,0.76345
77,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,491134,FR0000124711,B1YY4B3,UNBP.AS,,UNIBAIL-RODAMCO,FR,EUR,EURONEXT (NL),8672,,,1.0,29149,257.2,1.0,7497123,7497123.0,0.74764
78,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,CG,US5441471019,B39GHT7,LO.N,,Lorillard Inc.,US,USD,New York Stock Exchange,3785,,,1.0,119713,68.32,0.9152062,8178792,7485281.0,0.74646
79,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,624226,SG1B51001017,6242260,JCYC.SI,,Jardine Cycle & Carriage Ltd.,SG,SGD,Singapore Exchange,5379,,,1.0,273318,40.63,0.6694562,11104910,7434251.0,0.74137
80,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,POW,CA7392391016,2697701,POW.TO,,Power Corp. of Canada,CA,CAD,Toronto Stock Exchange,8575,,,1.0,296972,34.13,0.7312081,10135654,7411273.0,0.73908
81,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,PEG,US7445731067,2707677,PEG.N,,Public Service Enterprise Grou,US,USD,New York Stock Exchange,7535,,,1.0,189277,42.45,0.9152062,8034809,7353507.0,0.73332
82,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,AEP,US0255371017,2026242,AEP.N,,American Electric Power Co. In,US,USD,New York Stock Exchange,7535,,,1.0,137129,57.95,0.9152062,7946626,7272801.0,0.72527
83,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,531966,CH0012410517,7124594,BALN.VX,,BALOISE,CH,CHF,,8532,,,1.0,57025,134.7,0.9464769,7681267,7270142.0,0.725
84,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,DRI,US2371941053,2289874,DRI.N,,Darden Restaurants Inc.,US,USD,New York Stock Exchange,5757,,,1.0,112787,69.22,0.9152062,7807116,7145121.0,0.71254
85,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,PE,US30161N1019,2670519,EXC.N,,Exelon Corp.,US,USD,New York Stock Exchange,7535,,,1.0,233143,33.36,0.9152062,7777650,7118154.0,0.70985
86,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,MO,US02209S1033,2692632,MO.N,,Altria Group Inc.,US,USD,New York Stock Exchange,3785,,,1.0,148109,51.62,0.9152062,7645387,6997105.0,0.69778
87,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,STX,IE00B58JVZ52,B58JVZ5,STX.OQ,,Seagate Technology Inc.,US,USD,NASDAQ,9572,,,1.0,135084,55.85,0.9152062,7544441,6904720.0,0.68856
88,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,517617,FR0000133308,5176177,ORAN.PA,,ORANGE,FR,EUR,EURONEXT (FR),6535,,,1.0,466475,14.78,1.0,6894501,6894501.0,0.68754
89,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,RJR,US7617131062,2429090,RAI.N,,Reynolds American Inc.,US,USD,New York Stock Exchange,3785,,,1.0,104524,71.52,0.9152062,7475556,6841676.0,0.68228
90,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,CINF,US1720621010,2196888,CINF.OQ,,Cincinnati Financial Corp.,US,USD,NASDAQ,8536,,,1.0,136272,54.49,0.9152062,7425461,6795828.0,0.6777
91,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,612927,JP3165650007,6129277,9437.T,,NTT DoCoMo Inc.,JP,JPY,Tokio Stock Exchange,6575,,,1.0,396588,2216.5,0.0076416,879037302,6717251.0,0.66987
92,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,DTE,US2333311072,2280220,DTE.N,,DTE Energy Co.,US,USD,New York Stock Exchange,7535,,,1.0,89414,81.39,0.9152062,7277405,6660327.0,0.66419
93,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100,1002773624,350234,625050,JP3486800000,6250508,1878.T,,Daito Trust Construction Co. L,JP,JPY,Tokio Stock Exchange,2357,,,1.0,60988,13825.0,0.0076416,843159100,6443085.0,0.64253
