Creation_Date;Index_Symbol;Index_Name;Index ISIN;Internal_Key;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;Industry;Supersector;Sector;Subsector;Close_Price;Close_Price_Currency;New_Shares;New_Float;New_CapFactor;New_WeightFactor;New_Mcap_Units;Weights;Index_Membership_Previous;New_Index_Membership;Changes
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;NL604I;NL0011872643;BD9PNF2;ASRNL.AS1;ASR NEDERLAND NV;NL;EUR;EURONEXT Amsterdam;30;3030;303020;30302010;52.08;EUR;;;1;227634;11855179;1.18552;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;656387;SG1M77906915;6563875;CAPD.SI;CAPITALAND ASCENDAS REIT;SG;SGD;Singapore Exchange;35;3510;351020;35102000;1.7992557;EUR;;;1;6573531;11827463;1.18275;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;659758;JP3362700001;6597584;9104.T;Mitsui O.S.K. Lines Ltd.;JP;JPY;Tokyo Stock Exchange;50;5020;502060;50206030;34.4245392;EUR;;;1;342862;11802866;1.18029;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;685992;HK0016000132;6859927;0016.HK;Sun Hung Kai Properties Ltd.;HK;HKD;Stock Exchange of Hong Kong;35;3510;351010;35101010;8.8991097;EUR;;;1;1314988;11702222;1.17022;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;IT602J;IT0003796171;BYYN701;PST.MI;POSTE ITALIANE;IT;EUR;EURONEXT Milan;30;3020;302020;30202000;16.315;EUR;;;1;716812;11694788;1.16948;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;686774;HK0019000162;6867748;0019.HK;Swire Pacific Ltd. A;HK;HKD;Stock Exchange of Hong Kong;45;4510;451010;45101020;8.182204;EUR;;;1;1397930;11438148;1.14382;;Y;Addition
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;664396;JP3753000003;6643960;9101.T;Nippon Yusen K.K.;JP;JPY;Tokyo Stock Exchange;50;5020;502060;50206030;33.171264;EUR;;;1;341229;11318997;1.1319;;Y;Addition
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;413366;FR0000131104;7309681;BNPP.PA1;BNP PARIBAS;FR;EUR;EURONEXT Paris;30;3010;301010;30101010;73.55;EUR;;;1;152298;11201518;1.12015;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;726261;FR0000045072;7262610;CAGR.PA1;CREDIT AGRICOLE;FR;EUR;EURONEXT Paris;30;3010;301010;30101010;16.155;EUR;;;1;691704;11174478;1.11745;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;619091;HK0002007356;6097017;0002.HK;CLP Holdings Ltd.;HK;HKD;Stock Exchange of Hong Kong;65;6510;651010;65101015;7.5600958;EUR;;;1;1468686;11103407;1.11034;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;B06QFB;GB00B06QFB75;B06QFB7;IGG.L;IG GRP HLDG;GB;GBP;London Stock Exchange;30;3020;302020;30202015;11.1760163;EUR;;;1;992882;11096465;1.10965;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;US20RF;NL0009434992;B3SPXZ3;LYB.N;LYONDELLBASELL INDUSTRIES;US;USD;NYSE;55;5520;552010;55201020;66.8723578;EUR;;;1;165903;11094325;1.10943;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;517617;FR0000133308;5176177;ORAN.PA1;ORANGE;FR;EUR;EURONEXT Paris;15;1510;151020;15102015;11.85;EUR;;;1;934069;11068718;1.10687;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;626551;SG1L01001701;6175203;DBSM.SI;DBS Group Holdings Ltd.;SG;SGD;Singapore Exchange;30;3010;301010;30101010;30.401217;EUR;;;1;361425;10987760;1.09878;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;662460;AU000000NAB4;6624608;NAB.AX;National Australia Bank Ltd.;AU;AUD;Australian Securities Exchange;30;3010;301010;30101010;19.2293273;EUR;;;1;565609;10876281;1.08763;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;649602;JP3289800009;6496023;5406.T;Kobe Steel Ltd.;JP;JPY;Tokyo Stock Exchange;55;5510;551020;55102010;11.363652;EUR;;;1;956498;10869310;1.08693;;Y;Addition
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;691678;SG1M31001969;6916781;UOBH.SI;United Overseas Bank Ltd.;SG;SGD;Singapore Exchange;30;3010;301010;30101010;25.4239656;EUR;;;1;421051;10704786;1.07048;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;725147;IT0003153415;7251470;SRG.MI;SNAM RETE GAS;IT;EUR;EURONEXT Milan;60;6010;601010;60101035;4.597;EUR;;;1;2285138;10504779;1.05048;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;617350;AU000000HVN7;6173508;HVN.AX;Harvey Norman Holdings Ltd.;AU;AUD;Australian Securities Exchange;40;4040;404010;40401010;2.8777403;EUR;;;1;3629590;10445017;1.0445;Y;Y;
20250314;SDGP;STOXX Global Select Dividend 100;US26063V1180;PFE;US7170811035;2684703;PFE.N;Pfizer Inc.;US;USD;NYSE;20;2010;201030;20103015;23.577088;EUR;;;1;438942;10348974;1.0349;Y;Y;
