STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
;;SG1M31001969;20230320;445981;1
;;NZCENE0001S6;20230320;1967221;1
;;SG1L01001701;20230320;379744;1
;;CH0012214059;20230320;146707;1
;;IT0003796171;20230320;891555;1
;;DE000EVNK013;20230320;427960;1
;;SG1T75931496;20230320;4807704;1
;;US25278X1090;20230320;68342;1
;;KYG9828G1082;20230320;4969646;1
;;CA1360691010;20230320;204966;1
;;JP3768600003;20230320;735316;1
;;US88579Y1010;20230320;79192;1
;;CA7392391016;20230320;325204;1
;;CA56501R1064;20230320;452860;1
;;FR0000131104;20230320;143170;1
;;US4592001014;20230320;60710;1
;;AU000000SUN6;20230320;971332;1
;;DE0008404005;20230320;34410;1
;;US4601461035;20230320;210727;1
;;JP3386030005;20230320;599560;1
;;NL0009434992;20230320;81624;1
;;CH0011075394;20230320;15714;1
;;US8425871071;20230320;100268;1
;;CA0636711016;20230320;78033;1
;;CA8667961053;20230320;147700;1
;;US26441C2044;20230320;67920;1
;;US92556H2067;20230320;322385;1
;;US29364G1031;20230320;60694;1
;;IE00BKVD2N49;20230320;102891;1
;;US0865161014;20230320;80445;1
;;US7170811035;20230320;153716;1
;;US31620R3030;20230320;186052;1
;;CA8911605092;20230320;109231;1
;;US7185461040;20230320;60756;1
;;US2091151041;20230320;59603;1
;;CA7800871021;20230320;61341;1
;;US0311621009;20230320;24442;1
;;US3755581036;20230320;70803;1
;;US2058871029;20230320;155072;1
;;CA6330671034;20230320;79320;1
;;US40434L1052;20230320;191367;1
;;US1746101054;20230320;168853;1
;;CA7751092007;20230320;111100;1
;;US89832Q1094;20230320;159723;1
;;US9029733048;20230320;142694;1
;;US4932671088;20230320;418625;1
;;US8168511090;20230320;32265;1
;;US4461501045;20230320;441960;1
;;US74251V1026;20230320;54354;1
;;KYG8187G1055;20240318;23995851;1
;;AU000000YAL0;20240318;6260992;1
;;AU000000NHC7;20240318;7584351;1
;;NL0011540547;20240318;1165277;1
;;KYG9828G1082;20240318;15724088;1
;;GB0005603997;20240318;5715847;1
;;HK0012000102;20240318;6259741;1
;;GB0005405286;20240318;2291493;1
;;NL0011821202;20240318;1119818;1
;;AU000000FMG4;20240318;1027032;1
;;PLPKN0000018;20240318;1002147;1
;;AU0000224040;20240318;794708;1
;;NO0010345853;20240318;611283;1
;;GB0008782301;20240318;8583439;1
;;KYG960071028;20240318;22701827;1
;;GB00BM8PJY71;20240318;4897535;1
;;GB00B06QFB75;20240318;1589153;1
;;NL0010773842;20240318;328118;1
;;GB0007188757;20240318;233048;1
;;FR0000131104;20240318;215332;1
;;KYG2177B1014;20240318;3043539;1
;;FR0013269123;20240318;472720;1
;;AU000000BEN6;20240318;2159155;1
;;SG1M31001969;20240318;632681;1
;;DE0005190037;20240318;125671;1
;;DK0010311471;20240318;236979;1
;;BE0974264930;20240318;303767;1
;;SG1L01001701;20240318;502006;1
;;HK0006000050;20240318;2186027;1
;;NL0011872643;20240318;273521;1
;;HK0016000132;20240318;1290268;1
;;IT0003796171;20240318;961808;1
;;DE000KSAG888;20240318;866098;1
;;HK0000608585;20240318;10138530;1
;;SE0005190238;20240318;1443597;1
;;DE0007100000;20240318;147717;1
;;SG1M51904654;20240318;8149877;1
;;FR0000045072;20240318;802623;1
;;FR0000133308;20240318;978104;1
;;AU000000RIO1;20240318;145967;1
;;DE0007664039;20240318;89114;1
;;AU000000NAB4;20240318;479407;1
;;CA0641491075;20240318;212860;1
;;US92343V1044;20240318;259633;1
;;SG1T75931496;20240318;5549781;1
;;HK0002007356;20240318;1256114;1
;;ES0130670112;20240318;579281;1
;;IT0003153415;20240318;2177639;1
;;US7170811035;20240318;364578;1
;;AU000000JBH7;20240318;251663;1
;;SG1M77906915;20240318;5015052;1
;;AU000000HVN7;20240318;3036440;1
;;JP3726800000;20240318;357447;1
;;CA1360691010;20240318;187792;1
;;DE0008404005;20240318;31518;1
;;AU000000SUN6;20240318;865960;1
;;CH0012214059;20240318;100677;1
;;NZCENE0001S6;20240318;1765619;1
;;US25179M1036;20240318;184813;1
;;US4932671088;20240318;592717;1
;;CA7392391016;20240318;296701;1
;;DK0010244425;20240318;6532;1
;;CA56501R1064;20240318;343445;1
;;US1746101054;20240318;243854;1
;;CA0636711016;20240318;86794;1
;;JP3768600003;20240318;648966;1
;;CA8911605092;20240318;136512;1
;;CH0011075394;20240318;14563;1
;;US4601461035;20240318;225159;1
;;US2058871029;20240318;276928;1
;;US7591EP1005;20240318;406997;1
;;JP3381000003;20240318;320560;1
;;NL0009434992;20240318;77753;1
;;JP3386030005;20240318;459341;1
;;US7237871071;20240318;29756;1
;;US3453708600;20240318;600123;1
;;US25278X1090;20240318;37577;1
;;CA8667961053;20240318;130059;1
;;JP3362700001;20240318;219155;1
;;US9029733048;20240318;166422;1
;;US4461501045;20240318;542620;1
;;US0865161014;20240318;90272;1
;;US26441C2044;20240318;72970;1
;;CA7800871021;20240318;69790;1
;;US29364G1031;20240318;66818;1
;;CA6330671034;20240318;82700;1
;;US3755581036;20240318;89549;1
;;US8425871071;20240318;92837;1
;;US3167731005;20240318;173039;1
;;US20825C1045;20240318;50871;1
;;US40434L1052;20240318;196615;1
;;US2091151041;20240318;65358;1
;;US31620R3030;20240318;113968;1
;;US8168511090;20240318;76829;1
;;US4592001014;20240318;28194;1
;;CA7751092007;20240318;124228;1
;;US74251V1026;20240318;63280;1
;;US1270971039;20240318;192327;1
;;US0311621009;20240318;18599;1
;;US7185461040;20240318;30500;1
