,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,check,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Mcap
26,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,F,US3453708600,2615468,F.N,,Ford Motor Co.,US,USD,New York Stock Exchange,3353,,,1,1563644,,8.57,0.8820287,13400429,11819563,0.0116542,2/28/2019,318031305.1,795078262.8,PASS,0.011716,1,11882634.16
27,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,SBC,US00206R1023,2831811,T.N,,AT&T Inc.,US,USD,New York Stock Exchange,6535,,,1,424744,,30.8,0.8820287,13082115,11538801,0.0113773,2/28/2019,974298593.6,2435746484,PASS,0.011438,1,11600306.64
28,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,481334,SE0000148884,4813345,SEBa.ST,,SKANDINAVISKA ENSKILDA BK A,SE,SEK,OMX (SE),8355,,,1,1253773,,96.18,0.0955156,120587887,11518024,0.0113569,2/28/2019,40962262.12,102405655.3,PASS,0.011417,1,11579506.78
29,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,658508,AU000000SUN6,6585084,SUN.AX,,SUNCORP GROUP LTD.,AU,AUD,ASX,8775,,,1,1381833,,13.31,0.6261938,18392197,11517080,0.0113559,2/28/2019,28120671.73,70301679.33,PASS,0.011416,1,11578487.17
30,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,AVZ,BMG491BT1088,B28XP76,IVZ.N,,INVESCO Ltd.,US,USD,New York Stock Exchange,8771,,,1,644370,,20.24,0.8820287,13042049,11503461,0.0113425,2/28/2019,75771325.11,189428312.8,PASS,0.011403,1,11564824.52
31,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,594176,CH0008038389,B083BH4,SPSN.S,,SWISS PRIME SITE,CH,CHF,SIX Swiss Exchange,8633,,,1,149215,,86.5,0.8817176,12907098,11380415,0.0112212,2/28/2019,11251173.82,28127934.55,PASS,0.011281,1,11441146.92
32,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,524918,PTEDP0AM0009,4103596,EDP.LS,,EDP ENERGIAS DE PORTUGAL,PT,EUR,EURONEXT (PT),7537,,,1,3362657,,3.365,1,11315341,11315341,0.011157,2/28/2019,17104222.07,42760555.18,PASS,0.011217,1,11375688.53
33,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,643557,HK0004000045,6435576,0004.HK,,Wharf (Holdings) Ltd.,HK,HKD,Hong Kong Stock Exchange,8633,,,1,4260487,,23.5,0.1123608,100121445,11249726,0.0110923,2/28/2019,6795082.114,16987705.29,PASS,0.011151,1,11309720.35
34,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,461785,DE0005552004,4617859,DPWGn.DE,,DEUTSCHE POST,DE,EUR,XETRA (DE),2771,,,1,378109,,29.57,1,11180683,11180683,0.0110242,2/28/2019,92531000.26,231327500.7,PASS,0.011083,1,11240285.52
35,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,407228,ES0113900J37,5705946,SAN.MC,,BCO SANTANDER,ES,EUR,SIBE,8355,,,1,2512692,,4.4285,1,11127457,11127457,0.0109718,2/28/2019,154107363.9,385268409.8,PASS,0.011030,1,11186858.42
36,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,MO,US02209S1033,2692632,MO.N,,Altria Group Inc.,US,USD,New York Stock Exchange,3785,,,1,216240,,57.3,0.8820287,12390552,10928822,0.0107759,2/28/2019,532915706.7,1332289267,PASS,0.010833,1,10987118.58
37,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,B1G185,JP3711200000,B1G1854,8304.T,,AOZORA BANK,JP,JPY,Tokio Stock Exchange,8355,,,1,440247,,3100,0.0079166,1364765700,10804304,0.0106531,2/28/2019,20544348.09,51360870.23,PASS,0.010710,1,10861911.58
38,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,B04PZ7,SG1Q52922370,B04PZ72,SUNT.SI,,Suntec Real Estate Investment,SG,SGD,Singapore Exchange,8671,,,1,8524492,,1.94,0.6524436,16537514,10789796,0.0106388,2/28/2019,8895186.524,22237966.31,PASS,0.010696,1,10847331.29
39,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,FD,US55616P1049,2345022,M.N,,Macy's Inc.,US,USD,New York Stock Exchange,5373,,,1,506756,,23.89,0.8820287,12106401,10678193,0.0105288,2/28/2019,216369860.9,540924652.3,PASS,0.010585,1,10735175.17
40,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,POW,CA7392391016,2697701,POW.TO,,Power Corp. of Canada,CA,CAD,Toronto Stock Exchange,8575,,,1,530468,,29.85,0.6610697,15834470,10467688,0.0103212,2/28/2019,20839264.8,52098162,PASS,0.010376,1,10523506
41,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,647453,JP3726800000,6474535,2914.T,,Japan Tobacco Inc.,JP,JPY,Tokio Stock Exchange,3785,,,1,462730,,2834,0.0079166,1311376820,10381646,0.0102364,2/28/2019,127576315.7,318940789.3,PASS,0.010291,1,10437043.84
42,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,405671,IT0000062072,4056719,GASI.MI,,ASSICURAZIONI GENERALI,IT,EUR,Milan,8532,,,1,625622,,16.48,1,10310251,10310251,0.010166,2/28/2019,84260289.83,210650724.6,PASS,0.010220,1,10365263.93
43,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,642012,SG1M51904654,6420129,CMLT.SI,,CAPITALAND MALL TRUST MGMT,SG,SGD,Singapore Exchange,8672,,,1,6585208,,2.35,0.6524436,15475239,10096721,0.0099554,2/28/2019,15925964.88,39814912.2,PASS,0.010009,1,10150535.95
44,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,608545,AU000000TLS2,6087289,TLS.AX,,Telstra Corp. Ltd.,AU,AUD,ASX,6535,,,1,4869396,,3.26,0.6261938,15874231,9940345,0.0098013,2/28/2019,53309439.82,133273599.6,PASS,0.009854,1,9993415.435
45,3/18/2019,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,649026,SG1U68934629,B1VQ5C0,KPLM.SI,,Keppel Corp. Ltd.,SG,SGD,Singapore Exchange,573,,,1,2467929,,6.16,0.6524436,15202443,9918736,0.0097799,2/28/2019,12335521.41,30838803.53,PASS,0.009832,1,9971595.973
