,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Mcap,New_Weightfactor
23,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,B00D9P,BE0003810273,B00D9P6,PROX.BR,,PROXIMUS,BE,EUR,EURONEXT (BE),6535,,,1,488390,24.57,1.0,11999742,11999742,0.011831799999999998,2019-02-28,15196666.55,37991666.375,PASS,0.011894911374715596,1.0,12063715.297450079,484123
24,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,64623,GB00B39J2M42,B39J2M4,UU.L,,UNITED UTILITIES GRP,GB,GBP,LSE,7577,,,1,1171964,8.696,1.1660449,10191399,11883629,0.0117173,2019-02-28,18358067.55,45895168.875,PASS,0.011779800626359057,1.0,11946970.981153488,1161724
25,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,626551,SG1L01001701,6175203,DBSM.SI,,DBS Group Holdings Ltd.,SG,SGD,Singapore Exchange,8355,,,1,718175,25.24,0.6524436,18126737,11826674,0.0116612,2019-02-28,60398565.9,150996414.75,PASS,0.011723401386334584,1.0,11889771.364173235,711904
26,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,F,US3453708600,2615468,F.N,,Ford Motor Co.,US,USD,New York Stock Exchange,3353,,,1,1563644,8.57,0.8820287,13400429,11819563,0.011654199999999998,2019-02-28,318031305.1,795078262.75,PASS,0.011716364048007109,1.0,11882634.157063399,1549992
27,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,SBC,US00206R1023,2831811,T.N,,AT&T Inc.,US,USD,New York Stock Exchange,6535,,,1,424744,30.8,0.8820287,13082115,11538801,0.0113773,2019-02-28,974298593.6,2435746484.0,PASS,0.011437987050453166,1.0,11600306.635818625,421033
28,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,481334,SE0000148884,4813345,SEBa.ST,,SKANDINAVISKA ENSKILDA BK A,SE,SEK,OMX (SE),8355,,,1,1253773,96.18,0.0955156,120587887,11518024,0.011356900000000001,2019-02-28,40962262.12,102405655.3,PASS,0.011417478235898814,1.0,11579506.775098534,1242828
29,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,658508,AU000000SUN6,6585084,SUN.AX,,SUNCORP GROUP LTD.,AU,AUD,ASX,8775,,,1,1381833,13.31,0.6261938,18392197,11517080,0.0113559,2019-02-28,28120671.73,70301679.325,PASS,0.011416472901852031,1.0,11578487.174082842,1369762
30,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,AVZ,BMG491BT1088,B28XP76,IVZ.N,,INVESCO Ltd.,US,USD,New York Stock Exchange,8771,,,1,644370,20.24,0.8820287,13042049,11503461,0.0113425,2019-02-28,75771325.11,189428312.775,PASS,0.011403001425625153,1.0,11564824.520472586,638743
31,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,594176,CH0008038389,B083BH4,SPSN.S,,SWISS PRIME SITE,CH,CHF,SIX Swiss Exchange,8633,,,1,149215,86.5,0.8817176,12907098,11380415,0.0112212,2019-02-28,11251173.82,28127934.55,PASS,0.011281054405750493,1.0,11441146.917269297,147912
32,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,524918,PTEDP0AM0009,4103596,EDP.LS,,EDP ENERGIAS DE PORTUGAL,PT,EUR,EURONEXT (PT),7537,,,1,3362657,3.365,1.0,11315341,11315341,0.011156999999999999,2019-02-28,17104222.07,42760555.175,PASS,0.011216511959947084,1.0,11375688.532061946,3333287
33,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,643557,HK0004000045,6435576,0004.HK,,Wharf (Holdings) Ltd.,HK,HKD,Hong Kong Stock Exchange,8633,,,1,4260487,23.5,0.1123608,100121445,11249726,0.0110923,2019-02-28,6795082.114,16987705.285,PASS,0.011151466847120288,1.0,11309720.346346755,4223275
34,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,461785,DE0005552004,4617859,DPWGn.DE,,DEUTSCHE POST,DE,EUR,XETRA (DE),2771,,,1,378109,29.57,1.0,11180683,11180683,0.0110242,2019-02-28,92531000.26,231327500.65,PASS,0.011083003598534433,1.0,11240285.517178213,374806
35,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,407228,ES0113900J37,5705946,SAN.MC,,BCO SANTANDER,ES,EUR,SIBE,8355,,,1,2512692,4.4285,1.0,11127457,11127457,0.0109718,2019-02-28,154107363.9,385268409.75,PASS,0.011030324094483054,1.0,11186858.423956018,2490759
36,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,MO,US02209S1033,2692632,MO.N,,Altria Group Inc.,US,USD,New York Stock Exchange,3785,,,1,216240,57.3,0.8820287,12390552,10928822,0.0107759,2019-02-28,532915706.7,1332289266.75,PASS,0.010833379154718456,1.0,10987118.584982196,214352
37,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,B1G185,JP3711200000,B1G1854,8304.T,,AOZORA BANK,JP,JPY,Tokio Stock Exchange,8355,,,1,440247,3100.0,0.0079166,1364765700,10804304,0.0106531,2019-02-28,20544348.09,51360870.225,PASS,0.010709924133773623,1.0,10861911.580255369,436401
38,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,B04PZ7,SG1Q52922370,B04PZ72,SUNT.SI,,Suntec Real Estate Investment,SG,SGD,Singapore Exchange,8671,,,1,8524492,1.94,0.6524436,16537514,10789796,0.010638799999999999,2019-02-28,8895186.524,22237966.31,PASS,0.010695547856904637,1.0,10847331.285730988,8450032
39,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,FD,US55616P1049,2345022,M.N,,Macy's Inc.,US,USD,New York Stock Exchange,5373,,,1,506756,23.89,0.8820287,12106401,10678193,0.0105288,2019-02-28,216369860.9,540924652.25,PASS,0.010584961111758615,1.0,10735175.174005004,502331
40,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,POW,CA7392391016,2697701,POW.TO,,Power Corp. of Canada,CA,CAD,Toronto Stock Exchange,8575,,,1,530468,29.85,0.6610697,15834470,10467688,0.010321199999999999,2019-02-28,20839264.8,52098162.0,PASS,0.010376253763646667,1.0,10523506.0031476,525834
41,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,647453,JP3726800000,6474535,2914.T,,Japan Tobacco Inc.,JP,JPY,Tokio Stock Exchange,3785,,,1,462730,2834.0,0.0079166,1311376820,10381646,0.010236400000000001,2019-02-28,127576315.7,318940789.25,PASS,0.010291001436479553,1.0,10437043.837017026,458690
42,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,405671,IT0000062072,4056719,GASI.MI,,ASSICURAZIONI GENERALI,IT,EUR,Milan,8532,,,1,625622,16.48,1.0,10310251,10310251,0.010166,2019-02-28,84260289.83,210650724.575,PASS,0.010220225919586096,1.0,10365263.925512392,620159
43,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,642012,SG1M51904654,6420129,CMLT.SI,,CAPITALAND MALL TRUST MGMT,SG,SGD,Singapore Exchange,8672,,,1,6585208,2.35,0.6524436,15475239,10096721,0.0099554,2019-02-28,15925964.88,39814912.2,PASS,0.010008502569333801,1.0,10150535.951607917,6527671
44,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,608545,AU000000TLS2,6087289,TLS.AX,,Telstra Corp. Ltd.,AU,AUD,ASX,6535,,,1,4869396,3.26,0.6261938,15874231,9940345,0.009801299999999999,2019-02-28,53309439.82,133273599.55,PASS,0.00985358059272469,1.0,9993415.435089966,4826893
45,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,649026,SG1U68934629,B1VQ5C0,KPLM.SI,,Keppel Corp. Ltd.,SG,SGD,Singapore Exchange,573,,,1,2467929,6.16,0.6524436,15202443,9918736,0.009779900000000001,2019-02-28,12335521.41,30838803.525,PASS,0.009832066444123556,1.0,9971595.973354187,2446364
46,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,691678,SG1M31001969,6916781,UOBH.SI,,United Overseas Bank Ltd.,SG,SGD,Singapore Exchange,8355,,,1,597714,25.38,0.6524436,15169981,9897557,0.0097591,2019-02-28,37913550.53,94783876.325,PASS,0.00981115549595049,1.0,9950388.272227818,592496
47,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,557955,FI0009007132,5579550,FORTUM.HE,,FORTUM,FI,EUR,OMX (FI),7535,,,1,496120,19.89,1.0,9867827,9867827,0.0097297,2019-02-28,30706364.71,76765911.775,PASS,0.009781598674975099,1.0,9920412.002366511,491785
48,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,STX,IE00B58JVZ52,B58JVZ5,STX.OQ,,Seagate Technology Inc.,US,USD,NASDAQ,9572,,,1,232179,48.16,0.8820287,11181741,9862616,0.0097246,2019-02-28,144545199.7,361362999.25,PASS,0.00977647147133651,1.0,9915212.037186487,230151
49,2019-03-18,SDGP,STXG18SD100 EUR P,Price,EUR,2802.77,100,1014191272,361853,725147,IT0003153415,7251470,SRG.MI,,SNAM RETE GAS,IT,EUR,Milan,577,,,1,2164734,4.456,1.0,9646055,9646055,0.0095111,2019-02-28,41941488.55,104853721.375,PASS,0.009561832652348546,1.0,9697527.220336506,2145833
