,Date,Index_Symbol,Index_Name,Index_Type,Index_Currency,Index_Close,Index_Component_Count,Index_Mcap_Units,Index_Divisor,Internal_Number,ISIN,SEDOL,RIC,CUSIP,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Cutoff,ADTV_3M_EUR,ADTV_Cap_Screen,Liquidity_Test,New_Weight,New_Weight_Sum,New_Weightfactor
25,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,QCSB,US6494451031,2711656,NYCB.N,,New York Community Bancorp Inc,US,USD,New York Stock Exchange,8355.0,,,1.0,742253.0,16.83,0.9152062,12492118.0,11432864.0,0.0114012,2015-02-27,39834035.54,99585088.85,PASS,0.01152327734819213,1.0,748123
26,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,064623,GB00B39J2M42,B39J2M4,UU.L,,UNITED UTILITIES GRP,GB,GBP,LSE,7577.0,,,1.0,856331.0,9.58,1.3666805,8203651.0,11211770.0,0.0111808,2015-02-27,24227707.91,60569269.775,PASS,0.011300517434539045,1.0,863109
27,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,681042,HK0083000502,6810429,0083.HK,,Sino Land Co. Ltd.,HK,HKD,Hong Kong Stock Exchange,8633.0,,,1.0,7721277.0,12.08,0.118008,93273026.0,11006963.0,0.0109765,2015-02-27,7316111.86,18290279.65,PASS,0.011094029910222689,1.0,7782353
28,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,616400,HK0008011667,6574071,0008.HK,,PCCW,HK,HKD,Hong Kong Stock Exchange,6535.0,,,1.0,19449082.0,4.79,0.118008,93161103.0,10993755.0,0.0109633,2015-02-27,5462634.95,13656587.375,PASS,0.011080688572381397,1.0,19602876
29,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,407228,ES0113900J37,5705946,SAN.MC,,BCO SANTANDER,ES,EUR,SIBE,8355.0,,,1.0,1600188.0,6.834,1.0,10935685.0,10935685.0,0.0109054,2015-02-27,458785435.21,1146963588.025,PASS,0.011022168613213913,1.0,1612843
30,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,012715,GB0002634946,0263494,BAES.L,,BAE SYSTEMS,GB,GBP,LSE,2717.0,,,1.0,1439230.0,5.4,1.3666805,7771842.0,10621625.0,0.010592200000000001,2015-02-27,45237017.5,113092543.75,PASS,0.010705615051706899,1.0,1450611
31,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,537061,CH0038389992,7117884,BION.S,,BB BIOTECH,CH,CHF,SIX Swiss Exchange,4573.0,,,1.0,35884.0,312.0,0.9464769,11195808.0,10596574.0,0.0105673,2015-02-27,10053154.5,25132886.25,PASS,0.010680448437142642,1.0,36168
32,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,619091,HK0002007356,6097017,0002.HK,,CLP Holdings Ltd.,HK,HKD,Hong Kong Stock Exchange,7535.0,,,1.0,1346842.0,66.0,0.118008,88891572.0,10489917.0,0.0104609,2015-02-27,17988014.62,44970036.55,PASS,0.010572909168482534,1.0,1357498
33,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,SBC,US00206R1023,2831811,T.N,,AT&T Inc.,US,USD,New York Stock Exchange,6535.0,,,1.0,342274.0,33.28,0.9152062,11390879.0,10425003.0,0.0103962,2015-02-27,749747130.11,1874367825.275,PASS,0.010507516398911957,1.0,344983
34,2015-03-23,SDGP,STXG18SD100  P,Price,EUR,2863.15,100.0,1002773624.0,350234.0,MAT,US5770811025,2572303,MAT.OQ,,Mattel Inc.,US,USD,NASDAQ,3747.0,,,1.0,469289.0,24.18,0.9152062,11347408.0,10385218.0,0.0103565,2015-02-27,132831501.08,332078752.7,PASS,0.01046739131464686,1.0,473002
