STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
;;CH0244767585;20210322;448552;1
;;US59156R1086;20210322;119200;1
;;DE0005552004;20210322;128813;1
;;US89832Q1094;20210322;120122;1
;;US3167731005;20210322;183414;1
;;US40434L1052;20210322;197496;1
;;AU000000FMG4;20220321;3070339;1
;;GB0007188757;20220321;347196;1
;;DK0010244425;20220321;7845;1
;;AU000000RIO1;20220321;283852;1
;;JP3362700001;20220321;235203;1
;;KYG9828G1082;20220321;6992541;1
;;GB0005603997;20220321;4809069;1
;;ES0167050915;20220321;646841;1
;;AU000000HVN7;20220321;4215921;1
;;HK0000608585;20220321;4277056;1
;;JP3386030005;20220321;1146314;1
;;AU000000SUN6;20220321;1902452;1
;;FR0000045072;20220321;1278621;1
;;FR0010242511;20220321;1541180;1
;;NL0011872643;20220321;322223;1
;;HK0083000502;20220321;8105708;1
;;HK0012000102;20220321;3407915;1
;;GB00B06QFB75;20220321;1404393;1
;;AU000000BEN6;20220321;1961830;1
;;HK0016000132;20220321;1182290;1
;;DE0007100000;20220321;202501;1
;;FR0000131104;20220321;242294;1
;;HK0006000050;20220321;2181544;1
;;SG1Q52922370;20220321;11005670;1
;;GB0009252882;20220321;646851;1
;;FI0009005318;20220321;765658;1
;;AU000000JBH7;20220321;366062;1
;;JP3381000003;20220321;744377;1
;;JP3726800000;20220321;788089;1
;;NL0010773842;20220321;272570;1
;;SG1M51904654;20220321;7825843;1
;;FR0013269123;20220321;416685;1
;;CH0012214059;20220321;256763;1
;;JP3502200003;20220321;2125391;1
;;FR0010411983;20220321;406242;1
;;BE0974264930;20220321;246871;1
;;FR0000133308;20220321;1050984;1
;;GB0007908733;20220321;551476;1
;;BE0003810273;20220321;632161;1
;;IT0000062072;20220321;572313;1
;;AU000000NAB4;20220321;499697;1
;;JP3885780001;20220321;810563;1
;;SG1M31001969;20220321;457132;1
;;JP3752900005;20220321;1323430;1
;;FI0009007132;20220321;541872;1
;;DE0008404005;20220321;45032;1
;;JP3890350006;20220321;306745;1
;;FR0000064578;20220321;129598;1
;;CA56501R1064;20220321;495415;1
;;IT0003796171;20220321;870225;1
;;US4592001014;20220321;75754;1
;;JP3768600003;20220321;775987;1
;;CH0011075394;20220321;19939;1
;;SG1L01001701;20220321;368267;1
;;NZCENE0001S6;20220321;1761019;1
;;IT0003153415;20220321;1759178;1
;;SE0005190238;20220321;684665;1
;;HK0002007356;20220321;973456;1
;;CA7392391016;20220321;293127;1
;;US3755581036;20220321;146839;1
;;NL0009434992;20220321;81995;1
;;DE000EVNK013;20220321;297998;1
;;CA0641491075;20220321;113897;1
;;US7443201022;20220321;71243;1
;;US92343V1044;20220321;157642;1
;;US4601461035;20220321;177843;1
;;CA8667961053;20220321;142111;1
;;CA1360691010;20220321;60733;1
;;US1270971039;20220321;309298;1
;;CA0636711016;20220321;60391;1
;;US4461501045;20220321;481028;1
;;US8425871071;20220321;104511;1
;;US9314271084;20220321;151661;1
;;DE0008303504;20220321;306287;1
;;SG1T75931496;20220321;3651153;1
;;CA8911605092;20220321;85266;1
;;US14149Y1082;20220321;120267;1
;;US31620R3030;20220321;138961;1
;;US26441C2044;20220321;65007;1
;;US29364G1031;20220321;61970;1
;;US74251V1026;20220321;97244;1
;;CA7800871021;20220321;59640;1
;;CA6330671034;20220321;84156;1
;;US7170811035;20220321;121880;1
;;US2058871029;20220321;205030;1
;;US2091151041;20220321;72442;1
;;SG1M77906915;20220321;2992256;1
;;US0311621009;20220321;26559;1
;;US9029733048;20220321;108041;1
;;CA7751092007;20220321;107220;1
;;US8168511090;20220321;35979;1
;;US4932671088;20220321;238391;1
;;US89832Q1094;20220321;94165;1
;;US1746101054;20220321;110731;1
;;US59156R1086;20220321;77790;1
;;US40434L1052;20220321;141632;1
;;US3703341046;20220321;84347;1
;;US8326964058;20220321;40185;1
;;US2333311072;20220321;40234;1
;;IE00BKVD2N49;20220321;53820;1
;;KYG8187G1055;20230320;21118426;1
;;BMG684371393;20230320;59916344;1
;;AU000000YAL0;20230320;8707979;1
;;JP3362700001;20230320;1025808;1
;;JP3753000003;20230320;943180;1
;;DK0010244425;20230320;8753;1
;;AU000000FMG4;20230320;1368150;1
;;HK0000608585;20230320;7092822;1
;;AU000000JBH7;20230320;632519;1
;;AU000000HVN7;20230320;6796107;1
;;NO0010208051;20230320;394171;1
;;GB0008782301;20230320;11379479;1
;;JE00B4T3BW64;20230320;2843085;1
;;GB0007188757;20230320;229710;1
;;HK0006000050;20230320;2716105;1
;;LU1673108939;20230320;7141701;1
;;GB0005603997;20230320;5095972;1
;;US1270971039;20230320;609846;1
;;ES0130670112;20230320;683002;1
;;HK0012000102;20230320;3988005;1
;;SG1Q52922370;20230320;12002145;1
;;AU000000RIO1;20230320;165733;1
;;ES0167050915;20230320;412168;1
;;HK0083000502;20230320;9698875;1
;;GB0007668071;20230320;807572;1
;;NL0010773842;20230320;336686;1
;;HK0002007356;20230320;1661753;1
;;SG1M51904654;20230320;8452871;1
;;JP3726800000;20230320;576506;1
;;AU000000BEN6;20230320;1987578;1
;;GB0007908733;20230320;543138;1
;;SE0005190238;20230320;1165982;1
;;US25179M1036;20230320;233972;1
;;FR0013269123;20230320;419333;1
;;BE0003593044;20230320;124665;1
;;FR0000045072;20230320;1008744;1
;;DE0007100000;20230320;145706;1
;;SG1M77906915;20230320;5203953;1
;;GB00B06QFB75;20230320;1257397;1
;;FR0000133308;20230320;927774;1
